Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA single nuclei brain specificity"	"RNA single nuclei brain distribution"	"RNA single nuclei brain specificity score"	"RNA single nuclei brain specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Secretome function"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Brain expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	Interactions	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Cancer prognostics - Bladder Urothelial Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (validation)"	"Cancer prognostics - Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (validation)"	"Cancer prognostics - Glioblastoma Multiforme (TCGA)"	"Cancer prognostics - Glioblastoma Multiforme (validation)"	"Cancer prognostics - Head and Neck Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Chromophobe (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (validation)"	"Cancer prognostics - Kidney Renal Papillary Cell Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (validation)"	"Cancer prognostics - Lung Adenocarcinoma (TCGA)"	"Cancer prognostics - Lung Adenocarcinoma (validation)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (validation)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (TCGA)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (validation)"	"Cancer prognostics - Pancreatic Adenocarcinoma (TCGA)"	"Cancer prognostics - Pancreatic Adenocarcinoma (validation)"	"Cancer prognostics - Prostate Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (validation)"	"Cancer prognostics - Skin Cuteneous Melanoma (TCGA)"	"Cancer prognostics - Stomach Adenocarcinoma (TCGA)"	"Cancer prognostics - Testicular Germ Cell Tumor (TCGA)"	"Cancer prognostics - Thyroid Carcinoma (TCGA)"	"Cancer prognostics - Uterine Corpus Endometrial Carcinoma (TCGA)"
PAX5	"BSAP, PAX-5"	ENSG00000196092	"Paired box 5"	Q02548	9	36833269-37034268	"Cancer-related genes, Disease related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors"	"Differentiation, Neurogenesis, Spermatogenesis, Transcription, Transcription regulation"	"Developmental protein, DNA-binding"	"Cancer-related genes, Disease variant, Proto-oncogene"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	4	"lymphoid tissue: 38.7"	"Cell type enriched"	"Detected in some"	9	"B-cells: 111.3"	"Cell type enriched"	"Detected in some"	4	"leukocyte: 16.1"	"Cancer enhanced"	"Detected in some"		"Stomach Adenocarcinoma (TCGA): 2.8"	"Region enhanced"	"Detected in many"		"midbrain: 14.3"	"Group enriched"	"Detected in some"	44	"memory B-cell: 39.3;naive B-cell: 26.2"	"Lineage enriched"	"Detected in single"	53	"B-cells: 39.3"	"Group enriched"	"Detected in some"	11	"Leukemia: 33.8;lymphoma: 81.4"	"Lung - B-cells (Lung), Skin - Outer root sheath cells, Spleen - B-cells (Spleen)"	"Region enriched"	"Detected in single"	11	"midbrain: 3.9"	"Low region specificity"	"Detected in all"			"CAB026269, CAB026869, HPA056394"	Enhanced	Supported	Supported	Nucleoplasm			NA	NA			"Cluster 34: B-cells - Unknown function"	"Cluster 36: Lymphoid tissue - Cytokine signaling"	"Cluster 41: Monoamines - Neurotransmitter signalling"	"Cluster 6: Leukemia - Signal transduction"	"Cluster 73: B-cells - B-cell function"	38	Nucleoplasm		"CAB026269: , CAB026869: , HPA056394: AB_2683116"			"unprognostic (1.48e-5)"			"unprognostic (2.01e-1)"																"unprognostic (1.56e-1)"				"unprognostic (4.31e-2)"		"unprognostic (2.71e-1)"	"unprognostic (2.11e-1)"		
PAX6	"AN, AN1, AN2, D11S812E, WAGR"	ENSG00000007372	"Paired box 6"	P26367	11	31784779-31817961	"Disease related genes, Human disease related genes, Predicted intracellular proteins, Predicted membrane proteins, Transcription factors"	"Differentiation, Transcription, Transcription regulation"	"Developmental protein, DNA-binding, Repressor"	"Disease variant, Peters anomaly"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	8	"brain: 81.6;retina: 66.8"	"Group enriched"	"Detected in some"	6	"Horizontal cells: 473.4;Muller glia cells: 408.8"	"Group enriched"	"Detected in many"	4	"astrocyte: 89.5;bergmann glia: 113.2;ependymal cell: 44.3;upper rhombic lip: 135.0"	"Cancer enhanced"	"Detected in many"		"Glioblastoma Multiforme (TCGA): 12.9"	"Region enhanced"	"Detected in all"		"cerebellum: 96.7"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in many"			"Pancreas - Alpha cells, Pancreas - Beta cells, Stomach - Gastric enteroendocrine cells, Testis - Spermatocytes"	"Region enhanced"	"Detected in all"		"cerebellum: 54.3"	"Low region specificity"	"Detected in all"			"HPA030775, CAB034143"	Enhanced	Supported	Enhanced	Nucleoplasm			NA	NA				"Cluster 28: Neuronal - Transcription"	"Cluster 35: Non-specific - DNA binding"	"Cluster 5: Rhabdoid - Unknown function"	"Cluster 10: Muller glia cells - Visual perception"	92	Nucleoplasm		"CAB034143: AB_1127044, HPA030775: AB_10601243"	"unprognostic (9.54e-2)"		"unprognostic (4.16e-1)"	"unprognostic (2.23e-2)"			"unprognostic (7.46e-2)"	"unprognostic (3.71e-1)"	"unprognostic (2.33e-1)"				"unprognostic (3.46e-3)"					"unprognostic (9.00e-2)"	"unprognostic (2.95e-1)"	"unprognostic (1.47e-1)"	"unprognostic (1.11e-1)"	"unprognostic (1.80e-2)"	"unprognostic (2.13e-3)"				"unprognostic (2.35e-2)"	"unprognostic (3.58e-2)"	"unprognostic (1.57e-1)"		"unprognostic (2.54e-1)"
PAX7	Hup1	ENSG00000009709	"Paired box 7"	P23759	1	18630846-18748866	"Cancer-related genes, Disease related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors"	"Myogenesis, Transcription, Transcription regulation"	"Developmental protein, DNA-binding"	"Cancer-related genes, Disease variant, Proto-oncogene"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"skeletal muscle: 5.5;tongue: 4.2"	"Cell type enriched"	"Detected in some"	7	"Skeletal myocytes: 11.7"	"Cell type enhanced"	"Detected in some"		"ependymal cell: 5.5"	"Cancer enhanced"	"Detected in some"		"Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA): 2.3;Lung Adenocarcinoma (TCGA): 2.1"	"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in some"	9	"Bone cancer: 52.8"		"Region enriched"	"Detected in single"	17	"midbrain: 4.6"	"Region enhanced"	"Detected in many"		"thalamus: 5.6"								NA	NA				"Cluster 14: Skeletal muscle - Muscle contraction"	"Cluster 43: Hindbrain - Mixed function"	"Cluster 12: Bone cancer - Neuronal signaling"	"Cluster 2: Skeletal myocytes - Muscle contraction"	7						"unprognostic (2.04e-1)"	"unprognostic (3.98e-1)"												"unprognostic (1.28e-1)"	"unprognostic (3.46e-2)"														
PAX8	PAX-8	ENSG00000125618	"Paired box 8"	Q06710	2	113215997-113278921	"Cancer-related genes, Disease related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors"	"Differentiation, Transcription, Transcription regulation"	"Developmental protein, DNA-binding"	"Cancer-related genes, Congenital hypothyroidism, Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in many"	8	"kidney: 260.2;thyroid gland: 548.5"	"Cell type enhanced"	"Detected in many"		"Basal prostatic cells: 60.5;Collecting duct cells: 221.7;Glandular and luminal cells: 235.1;Proximal tubular cells: 117.0;Secretory cells: 102.8"	"Low cell type specificity"	"Detected in many"			"Cancer enhanced"	"Detected in many"		"Thyroid Carcinoma (TCGA): 281.3"	"Low region specificity"	"Detected in many"			"Low immune cell specificity"	"Detected in some"			"Low lineage specificity"	"Detected in many"			"Group enriched"	"Detected in many"	6	"Kidney cancer: 107.3;ovarian cancer: 135.6;Sarcoma: 61.2;thyroid cancer: 75.1;Uterine cancer: 158.2"		"Region enriched"	"Detected in some"	4	"pons and medulla: 5.5"					"HPA030062, CAB055097, CAB061888, HPA064554"	Enhanced		Enhanced	Nucleoplasm			NA	NA			"Cluster 18: Non-specific - Translation"	"Cluster 51: Thyroid gland - Unknown function"	"Cluster 43: Hindbrain - Mixed function"	"Cluster 15: Kidney cancer - Membrane components"	"Cluster 37: Glandular & Luminal cells - Unknown function"	16	Nucleoplasm		"CAB055097: AB_2236705, CAB061888: AB_10895719, HPA030062: AB_10603982, HPA064554: AB_2685283"	"unprognostic (2.30e-5)"	"unprognostic (1.53e-2)"	"unprognostic (1.03e-2)"	"unprognostic (3.98e-1)"	"unprognostic (1.90e-1)"	"unprognostic (1.16e-1)"	"unprognostic (1.69e-2)"		"unprognostic (1.09e-3)"	"unprognostic (2.92e-3)"	"unprognostic (1.73e-1)"	"unprognostic (6.38e-2)"	"unprognostic (3.14e-3)"	"unprognostic (4.16e-3)"		"unprognostic (4.37e-2)"	"unprognostic (1.35e-1)"	"unprognostic (7.89e-3)"	"unprognostic (6.67e-2)"	"unprognostic (9.30e-2)"	"unprognostic (7.09e-3)"	"unprognostic (1.03e-1)"	"unprognostic (1.83e-3)"		"unprognostic (9.58e-2)"	"unprognostic (1.35e-1)"	"unprognostic (3.39e-1)"	"unprognostic (1.30e-1)"	"unprognostic (2.60e-1)"	"unprognostic (4.99e-3)"	"unprognostic (2.38e-1)"
PAX9		ENSG00000198807	"Paired box 9"	P55771	14	36657568-36679362	"Disease related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	"Developmental protein, DNA-binding"	"Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	7	"esophagus: 78.7;lymphoid tissue: 19.9;parathyroid gland: 41.6;salivary gland: 50.4"	"Cell type enhanced"	"Detected in some"		"Basal keratinocytes: 36.9;Basal respiratory cells: 43.1;Basal squamous epithelial cells: 164.7;Serous glandular cells: 103.0;Squamous epithelial cells: 161.9;Suprabasal keratinocytes: 63.4"	"Cell type enhanced"	"Detected in single"		"fibroblast: 1.1"	"Low cancer specificity"	"Detected in many"			"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"head and neck cancer: 21.5"	"Lung - Respiratory ciliated cells, Pituitary gland - Fibroblasts, Testis - Sertoli cells"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in many"			"HPA001572, CAB016239"	Enhanced		Supported	Nucleoplasm,Nucleoli			NA	NA				"Cluster 29: Squamous epithelium - Innate immune response"		"Cluster 30: Non-specific - Gene expression regulation"	"Cluster 12: Squamous epithelial cells - Keratinization"	20	Nucleoli	Nucleoplasm	"CAB016239: AB_2159984, HPA001572: "	"unprognostic (1.07e-1)"	"unprognostic (2.57e-1)"	"unprognostic (1.27e-1)"	"unprognostic (1.90e-2)"		"unprognostic (2.77e-2)"			"unprognostic (4.86e-2)"							"unprognostic (2.43e-1)"	"unprognostic (2.41e-2)"	"unprognostic (8.81e-4)"	"unprognostic (1.04e-1)"					"unprognostic (1.27e-1)"				"unprognostic (2.53e-1)"		"unprognostic (1.74e-1)"	"unprognostic (4.70e-2)"
PBRM1	"BAF180, PB1, SMARCH1"	ENSG00000163939	"Polybromo 1"	Q86U86	3	52545352-52685917	"Cancer-related genes, Disease related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	"Chromatin regulator, DNA-binding"	"Cancer-related genes, Tumor suppressor"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Testis - Spermatogonia"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA015629, HPA059373"	Uncertain		Enhanced	Nucleoplasm			NA	NA			"Cluster 22: Eosinophils - Transcription"	"Cluster 16: Non-specific - Transcription"	"Cluster 50: Non-specific - Nucleic acid binding"	"Cluster 8: Non-specific - Basic cellular processes"	"Cluster 39: Non-specific - Basic cellular processes"	36	Nucleoplasm		"HPA015629: AB_1855012, HPA059373: AB_2683994"	"unprognostic (2.53e-2)"	"unprognostic (1.04e-1)"	"unprognostic (7.01e-2)"	"unprognostic (4.90e-2)"	"unprognostic (1.66e-1)"	"unprognostic (1.36e-1)"	"unprognostic (9.32e-2)"	"unprognostic (6.00e-2)"	"unprognostic (3.86e-3)"	"unprognostic (2.41e-2)"	"unprognostic (4.70e-5)"	"unprognostic (2.39e-2)"	"unprognostic (9.30e-2)"	"unprognostic (4.01e-3)"	"unprognostic (1.41e-1)"	"unprognostic (7.40e-2)"	"unprognostic (3.68e-2)"	"unprognostic (8.38e-2)"	"unprognostic (3.11e-1)"	"unprognostic (1.84e-1)"	"unprognostic (3.44e-2)"	"unprognostic (8.95e-2)"	"unprognostic (2.24e-2)"	"unprognostic (1.13e-1)"	"unprognostic (4.57e-3)"	"unprognostic (7.19e-2)"	"unprognostic (4.31e-2)"	"unprognostic (9.48e-2)"	"unprognostic (2.91e-1)"	"unprognostic (7.77e-3)"	"unprognostic (9.83e-2)"
PBX1		ENSG00000185630	"PBX homeobox 1"	P40424	1	164555584-164899296	"Cancer-related genes, Disease related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors"	"Differentiation, Sexual differentiation, Steroidogenesis, Transcription, Transcription regulation"	"Activator, Developmental protein, DNA-binding, Repressor"	"Cancer-related genes, Disease variant, Proto-oncogene"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Astrocytes: 362.6;Excitatory neurons: 460.0;Inhibitory neurons: 387.9;Oligodendrocyte precursor cells: 307.1"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in all"			"Liver - Hepatic stellate cells, Lung - Fibroblast_1, Thyroid gland - Thyroid glandular cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA003505, HPA003881, CAB018768"	Supported		Enhanced	"Nucleoplasm,Nuclear bodies,Cytosol"			NA	NA			"Cluster 41: Basophils - Unknown function"	"Cluster 62: Connective tissue - ECM organization"	"Cluster 14: Neurons - Synaptic function"	"Cluster 27: Breast cancer - Unknown function"	"Cluster 65: Neurons - Synaptic function"	29	Nucleoplasm	"Nuclear bodies, Cytosol"	"CAB018768: AB_675783, HPA003505: AB_1855019, HPA003881: AB_1855020"	"unprognostic (1.77e-4)"	"unprognostic (1.22e-2)"	"unprognostic (1.08e-1)"	"unprognostic (2.35e-1)"	"unprognostic (1.67e-1)"	"unprognostic (1.05e-1)"	"unprognostic (3.66e-2)"	"unprognostic (1.70e-1)"	"unprognostic (6.86e-3)"	"unprognostic (1.01e-2)"	"unprognostic (6.79e-6)"	"unprognostic (5.97e-5)"	"unprognostic (3.81e-3)"	"unprognostic (2.15e-1)"	"unprognostic (7.93e-2)"	"unprognostic (3.49e-1)"	"unprognostic (1.51e-1)"	"unprognostic (8.59e-2)"	"unprognostic (5.54e-2)"	"unprognostic (1.53e-1)"	"unprognostic (1.71e-1)"	"unprognostic (1.53e-1)"	"unprognostic (2.71e-2)"	"unprognostic (2.60e-1)"	"unprognostic (2.35e-1)"	"unprognostic (1.19e-1)"	"unprognostic (1.21e-1)"	"unprognostic (1.74e-1)"	"unprognostic (5.85e-2)"	"unprognostic (1.13e-1)"	"unprognostic (5.74e-2)"
PBX2	"G17, HOX12, PBX2MHC"	ENSG00000204304	"PBX homeobox 2"	P40425	6	32184733-32190202	"Plasma proteins, Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	"Activator, DNA-binding"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in many"			"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in all"				"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA061478	Supported		Supported	Nucleoplasm			NA	NA				"Cluster 66: Non-specific - Transcription"	"Cluster 42: Choroid plexus - Mitochondria"	"Cluster 28: Non-specific - Nuclear processes"	"Cluster 29: Monocytes - Innate immune response"	26	Nucleoplasm		"HPA061478: AB_2684535"	"unprognostic (2.33e-2)"	"unprognostic (2.58e-1)"	"unprognostic (5.67e-2)"	"unprognostic (5.90e-2)"	"unprognostic (2.20e-1)"	"unprognostic (4.69e-2)"	"unprognostic (1.41e-2)"	"unprognostic (3.88e-2)"	"unprognostic (2.71e-1)"	"unprognostic (2.40e-1)"	"unprognostic (2.33e-1)"	"unprognostic (9.65e-2)"	"unprognostic (1.06e-2)"	"unprognostic (1.36e-1)"	"unprognostic (3.80e-2)"	"unprognostic (6.03e-2)"	"unprognostic (1.02e-1)"	"unprognostic (6.94e-2)"	"unprognostic (1.65e-2)"	"unprognostic (9.52e-2)"	"unprognostic (4.05e-1)"	"unprognostic (1.53e-1)"	"unprognostic (3.06e-2)"	"unprognostic (1.16e-1)"	"unprognostic (3.92e-2)"	"unprognostic (6.35e-2)"	"unprognostic (1.52e-1)"	"unprognostic (3.66e-1)"	"unprognostic (1.29e-1)"	"unprognostic (5.77e-2)"	"unprognostic (2.12e-1)"
PBX3		ENSG00000167081	"PBX homeobox 3"	P40426	9	125747345-125967377	"Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	"Activator, DNA-binding"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"parathyroid gland: 148.1"	"Cell type enhanced"	"Detected in many"		"dendritic cells: 112.7;Microglial cells: 87.7;Oligodendrocyte precursor cells: 127.8;Oligodendrocytes: 178.8"	"Cell type enhanced"	"Detected in all"		"eccentric medium spiny neuron: 1632.7"	"Cancer enhanced"	"Detected in all"		"Thyroid Carcinoma (TCGA): 76.8"	"Low region specificity"	"Detected in all"			"Immune cell enriched"	"Detected in many"	4	"plasmacytoid DC: 14.0"	"Lineage enriched"	"Detected in all"	4	"dendritic cells: 14.0"	"Low cancer specificity"	"Detected in all"			"Skin - Keratinocyte (other)"	"Region enhanced"	"Detected in all"		"olfactory bulb: 167.4"	"Group enriched"	"Detected in all"	5	"basal ganglia: 56.8;olfactory bulb: 199.8"	HPA003881	Supported		Approved	"Nucleoplasm,Nuclear bodies,Cytosol"			NA	NA			"Cluster 5: Non-specific - Cell proliferation"	"Cluster 24: Parathyroid gland - Vesicular transport"	"Cluster 41: Monoamines - Neurotransmitter signalling"	"Cluster 14: Myeloid leukemia - Innate immune response"	"Cluster 76: Oligodendrocyte precursor - Unknown function"	1	Nucleoplasm	"Nuclear bodies, Cytosol"	"HPA003881: AB_1855020"	"unprognostic (1.39e-1)"	"unprognostic (1.22e-1)"	"unprognostic (9.11e-2)"	"unprognostic (9.94e-2)"	"unprognostic (1.19e-2)"	"unprognostic (4.46e-3)"	"unprognostic (2.29e-1)"	"unprognostic (2.76e-2)"	"unprognostic (1.65e-1)"	"unprognostic (1.63e-1)"	"unprognostic (1.03e-2)"	"unprognostic (1.64e-1)"	"unprognostic (3.04e-2)"	"unprognostic (1.15e-1)"	"unprognostic (2.29e-1)"	"unprognostic (2.58e-1)"	"unprognostic (1.66e-2)"	"unprognostic (5.57e-3)"	"unprognostic (2.25e-1)"	"unprognostic (1.30e-1)"	"unprognostic (7.57e-2)"	"unprognostic (1.74e-2)"	"unprognostic (4.52e-2)"	"unprognostic (6.92e-2)"	"unprognostic (3.63e-3)"	"unprognostic (5.33e-2)"	"unprognostic (1.84e-1)"	"unprognostic (2.71e-2)"	"unprognostic (2.71e-1)"	"unprognostic (8.25e-2)"	"unprognostic (9.54e-2)"
PBX4		ENSG00000105717	"PBX homeobox 4"	Q9BYU1	19	19561707-19618693	"Plasma proteins, Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	"Activator, DNA-binding"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"testis: 2.0;thyroid gland: 2.2"	"Cell type enhanced"	"Detected in many"		"NK-cells: 17.0;Spermatocytes: 27.7;T-cells: 47.9"	"Low cell type specificity"	"Detected in many"			"Low cancer specificity"	"Detected in some"			"Low region specificity"	"Detected in some"			"Group enriched"	"Detected in many"	7	"gdT-cell: 1.7;MAIT T-cell: 1.7;memory CD4 T-cell: 1.2;memory CD8 T-cell: 1.9;naive CD4 T-cell: 1.2;naive CD8 T-cell: 1.0;T-reg: 3.1"	"Lineage enriched"	"Detected in single"	12	"T-cells: 3.1"	"Cancer enhanced"	"Detected in many"		"Adrenocortical cancer: 4.1"	"Adipose visceral - T-cells, Adrenal gland - T-cells, Minor Salivary Gland - T-cells, Testis - Early spermatids"	"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in many"			"HPA049859, HPA056469"	Enhanced		Approved	Vesicles			NA	NA			"Cluster 9: T-regs - Cell cycle regulation"	"Cluster 16: Non-specific - Transcription"	"Cluster 38: Sub-cortical - Mixed function"	"Cluster 55: Lymphoma - Immune response"	"Cluster 78: NK-cells & T-cells - Immune system & Transcription"	69	Vesicles		"HPA049859: AB_2680918, HPA056469: AB_2797256"			"unprognostic (1.45e-1)"																		"unprognostic (1.92e-3)"		"unprognostic (1.35e-1)"						"unprognostic (1.18e-1)"	"unprognostic (6.30e-3)"	
PDX1	"GSF, IDX-1, IPF1, IUF-1, MODY4, PDX-1, STF-1"	ENSG00000139515	"Pancreatic and duodenal homeobox 1"	P52945	13	27920000-27926313	"Disease related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	"Activator, Developmental protein, DNA-binding"	"Diabetes mellitus, Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	5	"intestine: 40.6;pancreas: 13.0"	"Cell type enhanced"	"Detected in some"		"Cholangiocytes: 13.4;Ductal cells: 16.1;Enteroendocrine cells: 7.4;Exocrine glandular cells: 6.4;Gastric mucus-secreting cells: 4.7;Pancreatic endocrine cells: 20.4"	"Not detected"	"Not detected"			"Group enriched"	"Detected in some"	5	"Colon Adenocarcinoma (TCGA): 9.2;Pancreatic Adenocarcinoma (TCGA): 9.7;Rectum Adenocarcinoma (TCGA): 9.3;Stomach Adenocarcinoma (TCGA): 8.3"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"colorectal cancer: 6.2;Gastric cancer: 6.1"	"Colon - Colon enterocytes"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"CAB025873, HPA059146"	Enhanced		Supported	Nucleoplasm			NA	NA				"Cluster 45: Intestine - Digestion"		"Cluster 59: Leukemia - T-cell receptor"	"Cluster 45: Non-specific - Mixed function"	6	Nucleoplasm		"CAB025873: , HPA059146: AB_2683927"					"unprognostic (3.40e-1)"	"unprognostic (2.64e-2)"								"unprognostic (4.31e-2)"	"unprognostic (9.33e-2)"							"unprognostic (1.31e-2)"	"unprognostic (1.20e-1)"		"unprognostic (3.38e-1)"	"unprognostic (5.80e-2)"		"unprognostic (9.11e-2)"	"unprognostic (1.51e-1)"		
