Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA single nuclei brain specificity"	"RNA single nuclei brain distribution"	"RNA single nuclei brain specificity score"	"RNA single nuclei brain specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Secretome function"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Brain expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	Interactions	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Cancer prognostics - Bladder Urothelial Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (validation)"	"Cancer prognostics - Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (validation)"	"Cancer prognostics - Glioblastoma Multiforme (TCGA)"	"Cancer prognostics - Glioblastoma Multiforme (validation)"	"Cancer prognostics - Head and Neck Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Chromophobe (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (validation)"	"Cancer prognostics - Kidney Renal Papillary Cell Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (validation)"	"Cancer prognostics - Lung Adenocarcinoma (TCGA)"	"Cancer prognostics - Lung Adenocarcinoma (validation)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (validation)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (TCGA)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (validation)"	"Cancer prognostics - Pancreatic Adenocarcinoma (TCGA)"	"Cancer prognostics - Pancreatic Adenocarcinoma (validation)"	"Cancer prognostics - Prostate Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (validation)"	"Cancer prognostics - Skin Cuteneous Melanoma (TCGA)"	"Cancer prognostics - Stomach Adenocarcinoma (TCGA)"	"Cancer prognostics - Testicular Germ Cell Tumor (TCGA)"	"Cancer prognostics - Thyroid Carcinoma (TCGA)"	"Cancer prognostics - Uterine Corpus Endometrial Carcinoma (TCGA)"
LRP1B	"LRP-DIT, LRPDIT"	ENSG00000168702	"LDL receptor related protein 1B"	Q9NZR2	2	140231423-142131016	"Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"	Endocytosis	Receptor	"Cancer-related genes"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"brain: 9.7;thyroid gland: 5.5"	"Cell type enhanced"	"Detected in some"		"Astrocytes: 2010.5;Excitatory neurons: 3622.5;Inhibitory neurons: 2793.9;Oligodendrocyte precursor cells: 5225.5;Oligodendrocytes: 1119.5"	"Low cell type specificity"	"Detected in all"			"Cancer enhanced"	"Detected in some"		"Glioblastoma Multiforme (TCGA): 4.9"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"Rhabdoid: 3.3"	"Testis - Early spermatids, Testis - Late spermatids, Thyroid gland - Thyroid glandular cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA069094, HPA074788"	Approved		Approved	Vesicles			NA	NA		510000		"Cluster 33: Brain - Neuronal signaling"	"Cluster 40: Astrocytes - Astrocyte-neuron interactions"	"Cluster 3: Rhabdoid - Membrane components"	"Cluster 34: Neurons - Neuronal signaling"	4	Vesicles		"HPA069094: AB_2686082, HPA074788: AB_2797273"		"unprognostic (4.77e-3)"	"unprognostic (3.27e-1)"				"unprognostic (1.11e-1)"	"unprognostic (1.91e-2)"																							
LRRK1	"FLJ23119, KIAA1790, RIPK6, ROCO1"	ENSG00000154237	"Leucine rich repeat kinase 1"	Q38SD2	15	100919327-101078257	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"		"Kinase, Serine/threonine-protein kinase, Transferase"	"Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in many"			"Cell type enhanced"	"Detected in many"		"Excitatory neurons: 62.7;Microglial cells: 102.9"	"Cell type enriched"	"Detected in all"	5	"central nervous system macrophage: 745.6"	"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in some"		"plasmacytoid DC: 1.3"	"Low lineage specificity"	"Detected in many"			"Low cancer specificity"	"Detected in many"			"Adipose subcutaneous - Adipose progenitor cells, Adipose visceral - Adipose progenitor cells"	"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in many"			HPA010537	Uncertain		Supported	Mitochondria,Cytosol			NA	NA			"Cluster 2: Dendritic cells - Unknown function"	"Cluster 36: Lymphoid tissue - Cytokine signaling"	"Cluster 53: Neurons - Mixed function"	"Cluster 55: Lymphoma - Immune response"	"Cluster 34: Neurons - Neuronal signaling"	18	Cytosol	Mitochondria	"HPA010537: AB_1079283"	"unprognostic (4.70e-2)"	"unprognostic (1.02e-1)"	"unprognostic (3.67e-2)"	"unprognostic (6.76e-2)"	"unprognostic (2.15e-1)"	"unprognostic (1.53e-1)"		"unprognostic (2.75e-1)"	"unprognostic (5.25e-2)"		"unprognostic (2.15e-3)"	"unprognostic (3.80e-2)"	"unprognostic (2.06e-2)"			"unprognostic (2.98e-1)"	"unprognostic (1.27e-2)"	"unprognostic (1.03e-1)"	"unprognostic (2.17e-1)"	"unprognostic (4.14e-2)"	"unprognostic (5.26e-2)"	"unprognostic (5.66e-2)"	"unprognostic (2.86e-1)"	"unprognostic (1.59e-1)"	"unprognostic (3.55e-2)"	"unprognostic (6.15e-3)"	"unprognostic (4.75e-2)"	"unprognostic (1.34e-1)"	"unprognostic (1.55e-1)"	"unprognostic (7.83e-2)"	
LRRN2	"FIGLER7, GAC1, LRANK1, LRRN5"	ENSG00000170382	"Leucine rich repeat neuronal 2"	O75325	1	204617170-204685738	"Predicted membrane proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"choroid plexus: 20.8"	"Cell type enhanced"	"Detected in many"		"Astrocytes: 21.1;Excitatory neurons: 55.9;Granulosa cells: 15.8;Horizontal cells: 20.8;Inhibitory neurons: 38.2;Oligodendrocyte precursor cells: 36.8"	"Low cell type specificity"	"Detected in many"			"Group enriched"	"Detected in many"	7	"Breast Invasive Carcinoma (TCGA): 13.0;Glioblastoma Multiforme (TCGA): 40.1;Kidney Chromophobe (TCGA): 30.2;Ovary Serous Cystadenocarcinoma (TCGA): 32.4;Uterine Corpus Endometrial Carcinoma (TCGA): 20.7"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"Neuroblastoma: 9.4;testis cancer: 9.0"	"Testis - Sertoli cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA029124	Uncertain		Approved	"Endoplasmic reticulum"			NA	NA				"Cluster 61: Brain - Neuronal signaling"	"Cluster 38: Sub-cortical - Mixed function"	"Cluster 72: Neuronal - Signal transduction"	"Cluster 34: Neurons - Neuronal signaling"	2	"Endoplasmic reticulum"		"HPA029124: AB_10601545"	"unprognostic (1.15e-1)"	"unprognostic (1.10e-2)"	"unprognostic (3.90e-1)"	"unprognostic (6.73e-4)"	"unprognostic (1.55e-1)"	"unprognostic (3.11e-1)"	"unprognostic (9.50e-2)"	"unprognostic (8.81e-3)"		"unprognostic (6.38e-2)"	"unprognostic (1.59e-3)"		"unprognostic (6.29e-2)"	"unprognostic (3.36e-2)"		"unprognostic (1.03e-1)"	"unprognostic (2.80e-1)"	"unprognostic (1.01e-2)"	"unprognostic (6.18e-2)"	"unprognostic (2.95e-1)"	"unprognostic (5.01e-2)"	"unprognostic (7.32e-3)"		"unprognostic (1.47e-2)"	"unprognostic (1.27e-1)"	"unprognostic (1.71e-1)"		"unprognostic (4.73e-3)"	"unprognostic (9.40e-2)"	"unprognostic (6.80e-2)"	"unprognostic (2.72e-1)"
LRRTM2	KIAA0416	ENSG00000146006	"Leucine rich repeat transmembrane neuronal 2"	O43300	5	138868921-138875368	"Predicted intracellular proteins, Predicted membrane proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	4	"brain: 16.9"	"Cell type enhanced"	"Detected in some"		"Cone photoreceptor cells: 11.9;Excitatory neurons: 22.9;Horizontal cells: 15.1;Inhibitory neurons: 23.3;Oligodendrocyte precursor cells: 26.4;Oligodendrocytes: 15.1"	"Low cell type specificity"	"Detected in all"			"Cancer enriched"	"Detected in single"	9	"Glioblastoma Multiforme (TCGA): 5.9"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in single"	12	"Neuroblastoma: 6.0"		"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"										NA	NA				"Cluster 61: Brain - Neuronal signaling"	"Cluster 34: Non-specific - Mixed function"	"Cluster 17: Neuroblastoma - Neuronal signaling"	"Cluster 34: Neurons - Neuronal signaling"	2						"unprognostic (1.41e-1)"			"unprognostic (2.92e-2)"	"unprognostic (2.82e-1)"	"unprognostic (1.18e-1)"																		"unprognostic (3.60e-2)"					
LRRTM4	FLJ12568	ENSG00000176204	"Leucine rich repeat transmembrane neuronal 4"	Q86VH4	2	76747685-77593319	"Predicted intracellular proteins, Predicted membrane proteins, Transporters"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	5	"brain: 11.7;retina: 6.4"	"Group enriched"	"Detected in some"	16	"Excitatory neurons: 3845.0;Inhibitory neurons: 2223.2;Oligodendrocyte precursor cells: 3526.6"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in single"		"neutrophil: 1.6"	"Low lineage specificity"	"Detected in single"			"Low cancer specificity"	"Detected in all"			"Colon - Enteric glia cells, Liver - Hepatocytes, Pituitary gland - Lactotropes"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"										NA	NA			"Cluster 18: Non-specific - Translation"	"Cluster 17: Neuronal - Synaptic function"	"Cluster 53: Neurons - Mixed function"	"Cluster 51: Myeloma - Immunoglobulins"	"Cluster 34: Neurons - Neuronal signaling"					"unprognostic (9.64e-2)"		"unprognostic (2.83e-1)"	"unprognostic (4.26e-3)"		"unprognostic (4.96e-2)"	"unprognostic (2.99e-1)"	"unprognostic (3.89e-4)"	"unprognostic (5.44e-2)"	"unprognostic (3.74e-2)"	"unprognostic (2.43e-4)"	"unprognostic (9.12e-3)"	"unprognostic (2.32e-2)"				"unprognostic (4.19e-2)"	"unprognostic (3.12e-1)"	"unprognostic (4.63e-2)"	"unprognostic (3.34e-1)"			"unprognostic (1.16e-1)"	"unprognostic (3.46e-2)"		"unprognostic (1.54e-1)"	"unprognostic (1.54e-2)"	"unprognostic (1.29e-1)"	"unprognostic (1.77e-1)"		"unprognostic (6.64e-2)"
LY75-CD302		ENSG00000248672	"LY75-CD302 readthrough"		2	159771851-159904710	"Predicted membrane proteins"				"Evidence at protein level"	"Evidence at protein level"			"Tissue enhanced"	"Detected in some"		"bone marrow: 2.3;intestine: 1.7;lymphoid tissue: 2.3"	"Not detected"	"Not detected"							"Cancer enhanced"	"Detected in single"		"Stomach Adenocarcinoma (TCGA): 1.0"	"Low region specificity"	"Detected in single"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in many"			"Cancer enhanced"	"Detected in some"		"Myeloma: 4.2"										HPA049108	Uncertain						NA	NA			"Cluster 42: Non-specific - Vesicular transport"	"Cluster 25: Small intestine - Absorption"	"Cluster 43: Hindbrain - Mixed function"	"Cluster 21: Lymphoma - Adaptive immune response"	"Cluster 34: Neurons - Neuronal signaling"				"HPA049108: AB_2680635"						"unprognostic (1.66e-1)"											"unprognostic (4.85e-1)"		"unprognostic (1.12e-1)"				"unprognostic (1.27e-2)"			"unprognostic (1.21e-1)"		"unprognostic (2.80e-1)"			
MAGI3	MAGI-3	ENSG00000081026	"Membrane associated guanylate kinase, WW and PDZ domain containing 3"	Q5TCQ9	1	113390515-113685923	"Predicted intracellular proteins"	"Host-virus interaction"			"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"retina: 33.7"	"Cell type enhanced"	"Detected in many"		"Alveolar cells type 1: 143.9;Excitatory neurons: 199.5;Oligodendrocyte precursor cells: 120.7"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in all"			"Liver - Hepatocytes, Lung - Alveolar cells type 1, Spleen - Endothelial cells, Testis - Early spermatids"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA008444			Supported	"Cell Junctions"			NA	NA				"Cluster 39: Retina & Testis - Cilium"	"Cluster 52: Neurons & Synapses - Synaptic function"	"Cluster 17: Neuroblastoma - Neuronal signaling"	"Cluster 34: Neurons - Neuronal signaling"	14	"Cell Junctions"		"HPA008444: AB_2668069"	"unprognostic (3.39e-1)"	"unprognostic (1.13e-1)"	"unprognostic (3.33e-3)"	"unprognostic (3.50e-1)"	"unprognostic (3.52e-4)"	"unprognostic (1.53e-1)"	"unprognostic (5.36e-2)"	"unprognostic (6.03e-3)"	"unprognostic (2.03e-3)"	"unprognostic (4.02e-2)"	"unprognostic (1.77e-7)"	"unprognostic (8.74e-5)"	"unprognostic (4.18e-1)"	"unprognostic (2.36e-1)"	"unprognostic (1.12e-1)"	"unprognostic (1.13e-2)"	"unprognostic (2.69e-1)"	"unprognostic (1.37e-1)"	"unprognostic (3.79e-2)"	"unprognostic (2.29e-2)"	"unprognostic (1.47e-1)"	"unprognostic (8.94e-3)"	"unprognostic (5.26e-2)"	"unprognostic (2.08e-1)"	"unprognostic (4.82e-3)"	"unprognostic (7.69e-3)"	"unprognostic (1.53e-2)"	"unprognostic (5.79e-2)"	"unprognostic (2.14e-1)"	"unprognostic (2.21e-1)"	"unprognostic (3.00e-2)"
MAP2K5	"HsT17454, MAPKK5, MEK5, PRKMK5"	ENSG00000137764	"Mitogen-activated protein kinase kinase 5"	Q13163	15	67542703-67807117	"Enzymes, Predicted intracellular proteins"		"Kinase, Serine/threonine-protein kinase, Transferase, Tyrosine-protein kinase"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Group enriched"	"Detected in many"	7	"Astrocytes: 113.3;Early spermatids: 124.1;Excitatory neurons: 194.7;Inhibitory neurons: 162.3;Late spermatids: 216.9;Microglial cells: 83.2;Oligodendrocyte precursor cells: 137.3;Oligodendrocytes: 136.4"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"				"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"CAB022094, HPA027347, HPA027755"	Supported		Approved	"Nucleoli,Microtubules,Cytokinetic bridge,Primary cilium,Basal body"			Yes	NA			"Cluster 33: Non-specific - ATP binding"	"Cluster 3: Non-specific - Unknown function"	"Cluster 34: Non-specific - Mixed function"	"Cluster 58: Non-specific - Nuclear processes"	"Cluster 34: Neurons - Neuronal signaling"	26	"Microtubules, Primary cilium"	"Nucleoli, Cytokinetic bridge, Basal body"	"CAB022094: , HPA027347: AB_10599290, HPA027755: AB_10600883"	"unprognostic (1.63e-1)"	"unprognostic (7.70e-2)"	"unprognostic (6.72e-2)"	"unprognostic (1.02e-1)"	"unprognostic (2.82e-2)"	"unprognostic (1.77e-1)"	"unprognostic (1.90e-2)"	"unprognostic (1.27e-2)"	"unprognostic (1.27e-1)"	"unprognostic (4.38e-1)"	"unprognostic (9.91e-7)"	"unprognostic (4.30e-6)"	"unprognostic (2.41e-1)"	"unprognostic (3.49e-1)"	"unprognostic (2.03e-2)"	"unprognostic (5.11e-2)"	"unprognostic (1.61e-1)"	"unprognostic (2.07e-1)"	"unprognostic (2.42e-1)"	"unprognostic (1.33e-1)"	"unprognostic (2.15e-1)"	"unprognostic (1.92e-1)"	"unprognostic (2.95e-2)"	"unprognostic (7.43e-2)"	"unprognostic (4.02e-2)"	"unprognostic (1.44e-2)"	"unprognostic (2.56e-1)"	"unprognostic (1.05e-1)"	"unprognostic (4.85e-1)"	"unprognostic (1.01e-2)"	"unprognostic (2.28e-1)"
MAPK10	"JNK3, p493F12, p54bSAPK, PRKM10"	ENSG00000109339	"Mitogen-activated protein kinase 10"	P53779	4	85990007-86594625	"Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, RAS pathway related proteins"	"Biological rhythms"	"Kinase, Serine/threonine-protein kinase, Transferase"	"Epilepsy, Intellectual disability"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"brain: 89.9"	"Cell type enhanced"	"Detected in many"		"Astrocytes: 855.5;Early spermatids: 275.0;Excitatory neurons: 983.8;Inhibitory neurons: 697.3;Late spermatids: 441.2;Oligodendrocyte precursor cells: 559.9;Oligodendrocytes: 281.8"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in many"			"Low cancer specificity"	"Detected in all"			"Breast - Adipocytes (Breast), Heart muscle - Fibroblasts, Liver - Hepatic stellate cells, Lung - Respiratory ciliated cells, Spleen - Fibroblast_1, Testis - Early spermatids, Testis - Late spermatids"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"CAB022625, HPA068627, HPA071800"	Approved		Supported	Nucleoplasm			NA	NA			"Cluster 35: Neutrophils - Protein binding"	"Cluster 61: Brain - Neuronal signaling"	"Cluster 14: Neurons - Synaptic function"	"Cluster 46: Lymphoma - Humoral immune response"	"Cluster 34: Neurons - Neuronal signaling"	25	Nucleoplasm		"CAB022625: , HPA068627: , HPA071800: "	"unprognostic (9.82e-2)"	"unprognostic (1.45e-4)"	"unprognostic (3.12e-1)"	"unprognostic (1.17e-1)"	"unprognostic (2.75e-2)"	"unprognostic (7.82e-2)"	"unprognostic (2.33e-2)"	"unprognostic (9.59e-4)"	"unprognostic (2.46e-1)"	"unprognostic (5.71e-2)"	"unprognostic (1.79e-6)"	"unprognostic (2.14e-5)"	"unprognostic (2.22e-2)"	"unprognostic (1.61e-3)"		"unprognostic (7.50e-3)"	"unprognostic (1.73e-1)"	"unprognostic (7.53e-2)"	"unprognostic (2.03e-1)"	"unprognostic (1.88e-2)"	"unprognostic (6.79e-2)"	"unprognostic (3.14e-3)"	"unprognostic (1.18e-1)"	"unprognostic (4.68e-2)"	"unprognostic (3.68e-2)"	"unprognostic (7.30e-4)"	"unprognostic (1.13e-1)"	"unprognostic (1.51e-2)"	"unprognostic (1.53e-1)"	"unprognostic (5.26e-2)"	"unprognostic (3.60e-2)"
MAPK4	"Erk3-related, Erk4, PRKM4"	ENSG00000141639	"Mitogen-activated protein kinase 4"	P31152	18	50560087-50731826	"Enzymes, Plasma proteins, Predicted intracellular proteins"	"Cell cycle"	"Kinase, Serine/threonine-protein kinase, Transferase"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"brain: 73.4;parathyroid gland: 49.3"	"Cell type enhanced"	"Detected in many"		"Astrocytes: 192.3;Excitatory neurons: 101.8;Inhibitory neurons: 55.6;Late spermatids: 55.9;Muller glia cells: 55.6;Oocytes: 57.3"	"Cell type enhanced"	"Detected in many"		"astrocyte: 509.5;bergmann glia: 522.4"	"Cancer enriched"	"Detected in many"	4	"Glioblastoma Multiforme (TCGA): 31.1"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"cervical cancer: 18.0;Rhabdoid: 9.6"	"Adipose subcutaneous - Smooth muscle cells, Adipose visceral - Smooth muscle cells, Lung - Alveolar cells type 1, Pituitary gland - Undifferentiated cells (Pituitary gland), Skin - Eccrine sweat gland cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA007461			Approved	"Nucleoplasm,Golgi apparatus,Midbody,Cytosol"			Yes	NA				"Cluster 61: Brain - Neuronal signaling"	"Cluster 19: Astrocytes - Mixed function"	"Cluster 7: Liver cancer - Metabolism"	"Cluster 34: Neurons - Neuronal signaling"	23	"Nucleoplasm, Golgi apparatus"	"Midbody, Cytosol"	"HPA007461: AB_1079308"	"unprognostic (1.22e-1)"	"unprognostic (5.19e-2)"	"unprognostic (1.07e-1)"	"unprognostic (1.88e-1)"			"unprognostic (1.94e-1)"	"unprognostic (1.73e-1)"		"unprognostic (7.91e-2)"			"unprognostic (1.76e-3)"			"unprognostic (3.34e-2)"	"unprognostic (6.32e-4)"							"unprognostic (1.42e-1)"			"unprognostic (1.82e-1)"		"unprognostic (4.71e-3)"	"unprognostic (8.48e-3)"	
MCHR2	"GPR145, MCH2, MCH2R, SLT"	ENSG00000152034	"Melanin concentrating hormone receptor 2"	Q969V1	6	99918519-99994247	"G-protein coupled receptors, Predicted membrane proteins"		"G-protein coupled receptor, Receptor, Transducer"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	18	"brain: 5.1;testis: 1.5"	"Cell type enriched"	"Detected in some"	29	"Excitatory neurons: 42.6"	"Cell type enhanced"	"Detected in many"		"deep-layer intratelencephalic: 69.1;upper-layer intratelencephalic: 116.6"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Testis - Early spermatids"					"Low region specificity"	"Detected in many"										NA	NA				"Cluster 5: Brain & Testis - Signal transduction"	"Cluster 53: Neurons - Mixed function"	"Cluster 21: Lymphoma - Adaptive immune response"	"Cluster 34: Neurons - Neuronal signaling"																																			
MDGA2	MAMDC1	ENSG00000139915	"MAM domain containing glycosylphosphatidylinositol anchor 2"	Q7Z553	14	46839629-47675605	"Predicted intracellular proteins, Predicted membrane proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	11	"brain: 3.5;retina: 4.3;testis: 3.7"	"Group enriched"	"Detected in some"	7	"Excitatory neurons: 1504.9;Inhibitory neurons: 1159.8;Oligodendrocyte precursor cells: 1851.3"	"Low cell type specificity"	"Detected in all"			"Cancer enhanced"	"Detected in single"		"Skin Cuteneous Melanoma (TCGA): 1.5"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"skin cancer: 2.2"	"Testis - Early spermatids"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA003084	Uncertain						NA	NA				"Cluster 39: Retina & Testis - Cilium"	"Cluster 24: Neurons - Mixed function"	"Cluster 5: Rhabdoid - Unknown function"	"Cluster 34: Neurons - Neuronal signaling"				"HPA003084: AB_1079302"																											"unprognostic (5.39e-2)"				
