From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Length	Tissue specificity	Bgee
MED24	A0A0B4J1W0	unreviewed	A0A0B4J1W0_HUMAN	Mediator of RNA polymerase II transcription subunit 24 (Mediator complex subunit 24)	MED24 THRAP4 hCG_30017	1014		ENSG00000008838;
MED24	B4DDR8	unreviewed	B4DDR8_HUMAN	Mediator of RNA polymerase II transcription subunit 24 (Mediator complex subunit 24)	MED24	638		ENSG00000008838;
MED24	B9TX62	unreviewed	B9TX62_HUMAN	Mediator of RNA polymerase II transcription subunit 24 (Mediator complex subunit 24)	MED24	292		ENSG00000008838;
MED24	B9TX63	unreviewed	B9TX63_HUMAN	Mediator of RNA polymerase II transcription subunit 24 (Mediator complex subunit 24)	MED24	273		
MED24	B9TX64	unreviewed	B9TX64_HUMAN	Mediator of RNA polymerase II transcription subunit 24 (Mediator complex subunit 24)	MED24	196		
MED24	B9TX65	unreviewed	B9TX65_HUMAN	Mediator of RNA polymerase II transcription subunit 24 (Mediator complex subunit 24)	MED24	276		
MED24	B9TX66	unreviewed	B9TX66_HUMAN	Mediator of RNA polymerase II transcription subunit 24 (Mediator complex subunit 24)	MED24	112		
MED24	B9TX67	unreviewed	B9TX67_HUMAN	Mediator of RNA polymerase II transcription subunit 24 (Mediator complex subunit 24)	MED24	97		
MED24	B9TX68	unreviewed	B9TX68_HUMAN	Mediator of RNA polymerase II transcription subunit 24 (Mediator complex subunit 24)	MED24	196		
MED24	B9TX69	unreviewed	B9TX69_HUMAN	Mediator of RNA polymerase II transcription subunit 24 (Mediator complex subunit 24)	MED24	322		
MED24	B9TX70	unreviewed	B9TX70_HUMAN	Mediator complex subunit MED24 variant MED24_i10	MED24	19		
MED24	B9TX71	unreviewed	B9TX71_HUMAN	Mediator of RNA polymerase II transcription subunit 24 (Mediator complex subunit 24)	MED24	232		
MED24	B9TX72	unreviewed	B9TX72_HUMAN	Mediator of RNA polymerase II transcription subunit 24 (Mediator complex subunit 24)	MED24	287		
MED24	B9TX73	unreviewed	B9TX73_HUMAN	Mediator of RNA polymerase II transcription subunit 24 (Mediator complex subunit 24)	MED24	139		
MED24	B9TX74	unreviewed	B9TX74_HUMAN	Mediator of RNA polymerase II transcription subunit 24 (Mediator complex subunit 24)	MED24	128		
MED24	B9TX75	unreviewed	B9TX75_HUMAN	Mediator of RNA polymerase II transcription subunit 24 (Mediator complex subunit 24)	MED24	137		ENSG00000008838;
MED24	B9TX76	unreviewed	B9TX76_HUMAN	Mediator of RNA polymerase II transcription subunit 24 (Mediator complex subunit 24)	MED24	63		
MED24	E9PFL1	unreviewed	E9PFL1_HUMAN	Mediator of RNA polymerase II transcription subunit 24 (Mediator complex subunit 24)	MED24	301		ENSG00000008838;
MED24	F5GY88	unreviewed	F5GY88_HUMAN	Mediator of RNA polymerase II transcription subunit 24 (Mediator complex subunit 24)	MED24	1008		ENSG00000008838;
MED24	F5H0M2	unreviewed	F5H0M2_HUMAN	Mediator of RNA polymerase II transcription subunit 24 (Mediator complex subunit 24)	MED24	163		ENSG00000008838;
MED24	F5H2D6	unreviewed	F5H2D6_HUMAN	Mediator of RNA polymerase II transcription subunit 24 (Mediator complex subunit 24)	MED24	189		ENSG00000008838;
MED24	F5H3E6	unreviewed	F5H3E6_HUMAN	Mediator of RNA polymerase II transcription subunit 24 (Mediator complex subunit 24)	MED24	100		ENSG00000008838;
MED24	F5H5K2	unreviewed	F5H5K2_HUMAN	Mediator of RNA polymerase II transcription subunit 24 (Mediator complex subunit 24)	MED24	791		ENSG00000008838;
MED24	H0YEG1	unreviewed	H0YEG1_HUMAN	Mediator of RNA polymerase II transcription subunit 24 (Mediator complex subunit 24)	MED24	84		ENSG00000008838;
MED24	J3KSL1	unreviewed	J3KSL1_HUMAN	Mediator of RNA polymerase II transcription subunit 24 (Mediator complex subunit 24)	MED24	176		ENSG00000008838;
MED24	J3KSU0	unreviewed	J3KSU0_HUMAN	Mediator of RNA polymerase II transcription subunit 24 (Mediator complex subunit 24)	MED24	159		ENSG00000008838;
MED24	J3KTL3	unreviewed	J3KTL3_HUMAN	Mediator of RNA polymerase II transcription subunit 24 (Mediator complex subunit 24)	MED24	138		ENSG00000008838;
MED24	J3QLC0	unreviewed	J3QLC0_HUMAN	Mediator of RNA polymerase II transcription subunit 24 (Mediator complex subunit 24)	MED24	143		ENSG00000008838;
MED24	J3QLC2	unreviewed	J3QLC2_HUMAN	Mediator of RNA polymerase II transcription subunit 24 (Mediator complex subunit 24)	MED24	57		ENSG00000008838;
MED24	J3QLF8	unreviewed	J3QLF8_HUMAN	Mediator of RNA polymerase II transcription subunit 24 (Mediator complex subunit 24)	MED24	138		ENSG00000008838;
MED24	J3QLV7	unreviewed	J3QLV7_HUMAN	Mediator complex subunit 24	MED24	23		ENSG00000008838;
MED24	J3QRH9	unreviewed	J3QRH9_HUMAN	Mediator of RNA polymerase II transcription subunit 24 (Mediator complex subunit 24)	MED24	54		ENSG00000008838;
NELFB	Q8WX92	reviewed	NELFB_HUMAN	Negative elongation factor B (NELF-B) (Cofactor of BRCA1)	NELFB COBRA1 KIAA1182	580	TISSUE SPECIFICITY: Widely expressed. Expressed in heart, brain, lung, placenta, liver, skeletal muscle, kidney and pancreas. {ECO:0000269|PubMed:12612062}.	ENSG00000188986;
NELFB	A0A5H1ZRP4	unreviewed	A0A5H1ZRP4_HUMAN	Negative elongation factor B	NELFB	628		ENSG00000188986;
POLR2K	P53803	reviewed	RPAB4_HUMAN	DNA-directed RNA polymerases I, II, and III subunit RPABC4 (RNA polymerases I, II, and III subunit ABC4) (ABC10-alpha) (DNA-directed RNA polymerase II subunit K) (RNA polymerase II 7.0 kDa subunit) (RPB7.0) (RPB10alpha)	POLR2K	58		ENSG00000147669;
POLR2K	E5RGX2	unreviewed	E5RGX2_HUMAN	RNA polymerase II, I and III subunit K	POLR2K	67		ENSG00000147669;
SMARCD1	Q96GM5	reviewed	SMRD1_HUMAN	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 1 (60 kDa BRG-1/Brm-associated factor subunit A) (BRG1-associated factor 60A) (BAF60A) (SWI/SNF complex 60 kDa subunit)	SMARCD1 BAF60A	515	TISSUE SPECIFICITY: Expressed in all tissues tested, including brain, heart, kidney, liver, lung, muscle, pancreas and placenta. {ECO:0000269|PubMed:8804307}.	ENSG00000066117;
SMARCD1	F8VRQ4	unreviewed	F8VRQ4_HUMAN	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 1	SMARCD1	313		ENSG00000066117;
SMARCD1	F8VUB0	unreviewed	F8VUB0_HUMAN	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 1	SMARCD1	289		ENSG00000066117;
SMARCD1	F8VW95	unreviewed	F8VW95_HUMAN	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 1	SMARCD1	113		ENSG00000066117;
SMARCD1	F8VZ70	unreviewed	F8VZ70_HUMAN	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 1	SMARCD1	278		ENSG00000066117;
SMARCD1	H0YHV1	unreviewed	H0YHV1_HUMAN	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 1	SMARCD1	115		ENSG00000066117;
SMARCD1	L8EC99	unreviewed	L8EC99_HUMAN	Alternative protein SMARCD1	SMARCD1	82		
SPC24	Q8NBT2	reviewed	SPC24_HUMAN	Kinetochore protein Spc24 (hSpc24)	SPC24 SPBC24	197		ENSG00000161888;
SPC24	A0A0A0MSN0	unreviewed	A0A0A0MSN0_HUMAN	Kinetochore protein Spc24	SPC24	134		ENSG00000161888;
SPC24	K7EJH0	unreviewed	K7EJH0_HUMAN	Kinetochore protein Spc24	SPC24	168		ENSG00000161888;
SPC24	K7EJV2	unreviewed	K7EJV2_HUMAN	Kinetochore protein Spc24	SPC24	172		ENSG00000161888;
SPC24	K7EMX1	unreviewed	K7EMX1_HUMAN	Kinetochore protein Spc24	SPC24	171		ENSG00000161888;
SPC24	K7ERQ7	unreviewed	K7ERQ7_HUMAN	SPC24 component of NDC80 kinetochore complex	SPC24	126		ENSG00000161888;
SPC24	K7ESQ2	unreviewed	K7ESQ2_HUMAN	Kinetochore protein Spc24	SPC24	209		ENSG00000161888;
TAF10	Q12962	reviewed	TAF10_HUMAN	Transcription initiation factor TFIID subunit 10 (STAF28) (Transcription initiation factor TFIID 30 kDa subunit) (TAF(II)30) (TAFII-30) (TAFII30)	TAF10 TAF2A TAF2H TAFII30	218		ENSG00000166337;
TAF10	A0A087WWP5	unreviewed	A0A087WWP5_HUMAN	TATA-box binding protein associated factor 10	TAF10	131		ENSG00000166337;
TAF10	A0A8I5KQU8	unreviewed	A0A8I5KQU8_HUMAN	TATA-box binding protein associated factor 10	TAF10	101		
TAF1B	Q53T94	reviewed	TAF1B_HUMAN	TATA box-binding protein-associated factor RNA polymerase I subunit B (RNA polymerase I-specific TBP-associated factor 63 kDa) (TAFI63) (TATA box-binding protein-associated factor 1B) (TBP-associated factor 1B) (Transcription initiation factor SL1/TIF-IB subunit B)	TAF1B	588		ENSG00000115750;
TAF1B	F8WDU0	unreviewed	F8WDU0_HUMAN	TATA-box binding protein associated factor, RNA polymerase I subunit B	TAF1B	57		ENSG00000115750;
TAF1B	F8WE32	unreviewed	F8WE32_HUMAN	TATA box-binding protein-associated factor RNA polymerase I subunit B (TATA box-binding protein-associated factor 1B) (Transcription initiation factor SL1/TIF-IB subunit B)	TAF1B	194		ENSG00000115750;
TAF1B	U3KQ75	unreviewed	U3KQ75_HUMAN	TATA-box binding protein associated factor, RNA polymerase I subunit B	TAF1B	216		ENSG00000115750;
TAF2	Q6P1X5	reviewed	TAF2_HUMAN	Transcription initiation factor TFIID subunit 2 (150 kDa cofactor of initiator function) (RNA polymerase II TBP-associated factor subunit B) (TBP-associated factor 150 kDa) (Transcription initiation factor TFIID 150 kDa subunit) (TAF(II)150) (TAFII-150) (TAFII150)	TAF2 CIF150 TAF2B	1199	TISSUE SPECIFICITY: Expressed in all tissues tested. {ECO:0000269|PubMed:9774672}.	ENSG00000064313;
TAF2	A0A8I5KNG3	unreviewed	A0A8I5KNG3_HUMAN	TATA-box binding protein associated factor 2	TAF2	60		
TAF2	A0A8I5KPW0	unreviewed	A0A8I5KPW0_HUMAN	Transcription initiation factor TFIID subunit 2	TAF2	526		
TAF2	A0A8I5KR26	unreviewed	A0A8I5KR26_HUMAN	Transcription initiation factor TFIID subunit 2	TAF2	384		
TAF2	A0A8I5KRI4	unreviewed	A0A8I5KRI4_HUMAN	TATA-box binding protein associated factor 2	TAF2	52		
TAF2	A0A8I5KSY6	unreviewed	A0A8I5KSY6_HUMAN	Transcription initiation factor TFIID subunit 2 (Transcription initiation factor TFIID 150 kDa subunit)	TAF2	1162		
TAF2	A0A8I5KU60	unreviewed	A0A8I5KU60_HUMAN	TATA-box binding protein associated factor 2	TAF2	43		
TAF2	A0A8I5KUD2	unreviewed	A0A8I5KUD2_HUMAN	TATA-box binding protein associated factor 2	TAF2	118		
TAF2	A0A8I5KUQ2	unreviewed	A0A8I5KUQ2_HUMAN	Transcription initiation factor TFIID subunit 2 (Transcription initiation factor TFIID 150 kDa subunit)	TAF2	1160		
TAF2	A0A8I5KV60	unreviewed	A0A8I5KV60_HUMAN	Transcription initiation factor TFIID subunit 2 (Transcription initiation factor TFIID 150 kDa subunit)	TAF2	1251		
TAF2	A0A8I5KVC1	unreviewed	A0A8I5KVC1_HUMAN	TATA-box binding protein associated factor 2	TAF2	198		
TAF2	A0A8I5KXP3	unreviewed	A0A8I5KXP3_HUMAN	Transcription initiation factor TFIID subunit 2	TAF2	422		
TAF2	A0A8I5KXS3	unreviewed	A0A8I5KXS3_HUMAN	TATA-box binding protein associated factor 2	TAF2	259		
TAF2	A0A8I5KY57	unreviewed	A0A8I5KY57_HUMAN	TATA-box binding protein associated factor 2	TAF2	190		
TAF2	A0A8I5QJD7	unreviewed	A0A8I5QJD7_HUMAN	Transcription initiation factor TFIID subunit 2	TAF2	879		
TAF2	A0A8I5QJI9	unreviewed	A0A8I5QJI9_HUMAN	TATA-box binding protein associated factor 2	TAF2	156		
TAF2	A0A8I5QJJ6	unreviewed	A0A8I5QJJ6_HUMAN	TATA-box binding protein associated factor 2	TAF2	196		
TAF2	A0A8I5QJR0	unreviewed	A0A8I5QJR0_HUMAN	Transcription initiation factor TFIID subunit 2 (Transcription initiation factor TFIID 150 kDa subunit)	TAF2	1214		
TAF2	E5RI28	unreviewed	E5RI28_HUMAN	TATA-box binding protein associated factor 2	TAF2	230		ENSG00000064313;
TAF2	H0YB55	unreviewed	H0YB55_HUMAN	TATA-box binding protein associated factor 2	TAF2	67		ENSG00000064313;
TAF2	H0YC37	unreviewed	H0YC37_HUMAN	Transcription initiation factor TFIID subunit 2 (Transcription initiation factor TFIID 150 kDa subunit)	TAF2	1161		ENSG00000064313;
TAF2	H0YEX2	unreviewed	H0YEX2_HUMAN	TATA-box binding protein associated factor 2	TAF2	116		ENSG00000064313;
TAF5	Q15542	reviewed	TAF5_HUMAN	Transcription initiation factor TFIID subunit 5 (Transcription initiation factor TFIID 100 kDa subunit) (TAF(II)100) (TAFII-100) (TAFII100)	TAF5 TAF2D	800		ENSG00000148835;
TAF5	A0A8I5KNW4	unreviewed	A0A8I5KNW4_HUMAN	TATA-box binding protein associated factor 5	TAF5	220		
TAF5	A0A8I5KZ43	unreviewed	A0A8I5KZ43_HUMAN	TATA-box binding protein associated factor 5	TAF5	271		
TBP	P20226	reviewed	TBP_HUMAN	TATA-box-binding protein (TATA sequence-binding protein) (TATA-binding factor) (TATA-box factor) (Transcription initiation factor TFIID TBP subunit)	TBP GTF2D1 TF2D TFIID	339	TISSUE SPECIFICITY: Widely expressed, with levels highest in the testis and ovary. {ECO:0000269|PubMed:17570761}.	ENSG00000112592;
TBP	A0A1B0GVC6	unreviewed	A0A1B0GVC6_HUMAN	TATA-box-binding protein (TATA sequence-binding protein) (TATA-binding factor) (TATA-box factor) (Transcription initiation factor TFIID TBP subunit)	TBP	248		ENSG00000112592;
TBP	H0Y6D8	unreviewed	H0Y6D8_HUMAN	TATA-box-binding protein (TATA sequence-binding protein) (TATA-binding factor) (TATA-box factor) (Transcription initiation factor TFIID TBP subunit)	TBP	101		ENSG00000112592;
TBP	Q32MN6	unreviewed	Q32MN6_HUMAN	TATA-box-binding protein (TATA sequence-binding protein) (TATA-binding factor) (TATA-box factor) (Transcription initiation factor TFIID TBP subunit)	TBP	288		ENSG00000112592;
TBP	Q32MN7	unreviewed	Q32MN7_HUMAN	TATA-box-binding protein (TATA sequence-binding protein) (TATA-binding factor) (TATA-box factor) (Transcription initiation factor TFIID TBP subunit)	TBP hCG_2029691	338		
TBP	Q6QR78	unreviewed	Q6QR78_HUMAN	TATA box binding protein	TBP	77		
TBP	Q6UKI1	unreviewed	Q6UKI1_HUMAN	TATA box binding protein	TBP	78		
TBP	Q7Z6S4	unreviewed	Q7Z6S4_HUMAN	TATA-box binding protein	TBP	150		ENSG00000112592;
TBP	Q7Z6S5	unreviewed	Q7Z6S5_HUMAN	TATA-box-binding protein (TATA sequence-binding protein) (TATA-binding factor) (TATA-box factor) (Transcription initiation factor TFIID TBP subunit)	TBP	208		ENSG00000112592;
UBA1	P22314	reviewed	UBA1_HUMAN	Ubiquitin-like modifier-activating enzyme 1 (EC 6.2.1.45) (Protein A1S9) (Ubiquitin-activating enzyme E1)	UBA1 A1S9T UBE1	1058	TISSUE SPECIFICITY: Detected in erythrocytes (at protein level). Ubiquitous. {ECO:0000269|PubMed:1986373}.	ENSG00000130985;
UBA1	Q5JRR6	unreviewed	Q5JRR6_HUMAN	Ubiquitin like modifier activating enzyme 1	UBA1	506		ENSG00000130985;
UBA1	Q5JRR9	unreviewed	Q5JRR9_HUMAN	SUMO-activating enzyme subunit 1 (Ubiquitin-like 1-activating enzyme E1A)	UBA1	270		ENSG00000130985;
UBA1	Q5JRS0	unreviewed	Q5JRS0_HUMAN	SUMO-activating enzyme subunit 1 (Ubiquitin-like 1-activating enzyme E1A)	UBA1	284		ENSG00000130985;
UBA1	Q5JRS1	unreviewed	Q5JRS1_HUMAN	Ubiquitin like modifier activating enzyme 1	UBA1	173		ENSG00000130985;
UBA1	Q5JRS2	unreviewed	Q5JRS2_HUMAN	Ubiquitin like modifier activating enzyme 1	UBA1	234		ENSG00000130985;
UBA1	Q5JRS3	unreviewed	Q5JRS3_HUMAN	Ubiquitin like modifier activating enzyme 1	UBA1	195		ENSG00000130985;
UBE2I	P63279	reviewed	UBC9_HUMAN	SUMO-conjugating enzyme UBC9 (EC 2.3.2.-) (RING-type E3 SUMO transferase UBC9) (SUMO-protein ligase) (Ubiquitin carrier protein 9) (Ubiquitin carrier protein I) (Ubiquitin-conjugating enzyme E2 I) (Ubiquitin-protein ligase I) (p18)	UBE2I UBC9 UBCE9	158	TISSUE SPECIFICITY: Expressed in heart, skeletal muscle, pancreas, kidney, liver, lung, placenta and brain. Also expressed in testis and thymus. {ECO:0000269|PubMed:8610150}.	ENSG00000103275;
UBE2I	A0AAA9YHD0	unreviewed	A0AAA9YHD0_HUMAN	SUMO-conjugating enzyme UBC9 (RING-type E3 SUMO transferase UBC9) (SUMO-protein ligase) (Ubiquitin carrier protein 9) (Ubiquitin carrier protein I) (Ubiquitin-conjugating enzyme E2 I) (Ubiquitin-protein ligase I)	UBE2I	97		
UBE2I	A0AAA9YHE7	unreviewed	A0AAA9YHE7_HUMAN	SUMO-conjugating enzyme UBC9 (RING-type E3 SUMO transferase UBC9) (SUMO-protein ligase) (Ubiquitin carrier protein 9) (Ubiquitin carrier protein I) (Ubiquitin-conjugating enzyme E2 I) (Ubiquitin-protein ligase I)	UBE2I	97		
UBE2I	A0AAA9YHF5	unreviewed	A0AAA9YHF5_HUMAN	SUMO-conjugating enzyme UBC9 (RING-type E3 SUMO transferase UBC9) (SUMO-protein ligase) (Ubiquitin carrier protein 9) (Ubiquitin carrier protein I) (Ubiquitin-conjugating enzyme E2 I) (Ubiquitin-protein ligase I)	UBE2I	185		
UBE2I	A0AAA9YHJ6	unreviewed	A0AAA9YHJ6_HUMAN	SUMO-conjugating enzyme UBC9 (RING-type E3 SUMO transferase UBC9) (SUMO-protein ligase) (Ubiquitin carrier protein 9) (Ubiquitin carrier protein I) (Ubiquitin-conjugating enzyme E2 I) (Ubiquitin-protein ligase I)	UBE2I	157		
UBE2I	A0AAA9YHJ9	unreviewed	A0AAA9YHJ9_HUMAN	SUMO-conjugating enzyme UBC9 (RING-type E3 SUMO transferase UBC9) (SUMO-protein ligase) (Ubiquitin carrier protein 9) (Ubiquitin carrier protein I) (Ubiquitin-conjugating enzyme E2 I) (Ubiquitin-protein ligase I)	UBE2I	167		
UBE2I	A0AAA9YHK4	unreviewed	A0AAA9YHK4_HUMAN	SUMO-conjugating enzyme UBC9 (RING-type E3 SUMO transferase UBC9) (SUMO-protein ligase) (Ubiquitin carrier protein 9) (Ubiquitin carrier protein I) (Ubiquitin-conjugating enzyme E2 I) (Ubiquitin-protein ligase I)	UBE2I	155		
UBE2I	A0AAA9YHQ4	unreviewed	A0AAA9YHQ4_HUMAN	SUMO-conjugating enzyme UBC9 (RING-type E3 SUMO transferase UBC9) (SUMO-protein ligase) (Ubiquitin carrier protein 9) (Ubiquitin carrier protein I) (Ubiquitin-conjugating enzyme E2 I) (Ubiquitin-protein ligase I)	UBE2I	123		
UBE2I	A0AAA9YHQ8	unreviewed	A0AAA9YHQ8_HUMAN	SUMO-conjugating enzyme UBC9 (RING-type E3 SUMO transferase UBC9) (SUMO-protein ligase) (Ubiquitin carrier protein 9) (Ubiquitin carrier protein I) (Ubiquitin-conjugating enzyme E2 I) (Ubiquitin-protein ligase I)	UBE2I	210		
UBE2I	A0AAA9YHV5	unreviewed	A0AAA9YHV5_HUMAN	Ubiquitin conjugating enzyme E2 I	UBE2I	84		
UBE2I	A0AAA9YHW0	unreviewed	A0AAA9YHW0_HUMAN	SUMO-conjugating enzyme UBC9 (RING-type E3 SUMO transferase UBC9) (SUMO-protein ligase) (Ubiquitin carrier protein 9) (Ubiquitin carrier protein I) (Ubiquitin-conjugating enzyme E2 I) (Ubiquitin-protein ligase I)	UBE2I	130		
UBE2I	A0AAA9YHW2	unreviewed	A0AAA9YHW2_HUMAN	SUMO-conjugating enzyme UBC9 (RING-type E3 SUMO transferase UBC9) (SUMO-protein ligase) (Ubiquitin carrier protein 9) (Ubiquitin carrier protein I) (Ubiquitin-conjugating enzyme E2 I) (Ubiquitin-protein ligase I)	UBE2I	122		
UBE2I	H3BPC4	unreviewed	H3BPC4_HUMAN	SUMO-conjugating enzyme UBC9 (RING-type E3 SUMO transferase UBC9) (SUMO-protein ligase) (Ubiquitin carrier protein 9) (Ubiquitin carrier protein I) (Ubiquitin-conjugating enzyme E2 I) (Ubiquitin-protein ligase I)	UBE2I	74		ENSG00000103275;
UBE2I	H3BQQ9	unreviewed	H3BQQ9_HUMAN	SUMO-conjugating enzyme UBC9 (RING-type E3 SUMO transferase UBC9) (SUMO-protein ligase) (Ubiquitin carrier protein 9) (Ubiquitin carrier protein I) (Ubiquitin-conjugating enzyme E2 I) (Ubiquitin-protein ligase I)	UBE2I	137		ENSG00000103275;
UBE2I	H3BRD1	unreviewed	H3BRD1_HUMAN	SUMO-conjugating enzyme UBC9	UBE2I	29		ENSG00000103275;
UBE2I	Q7KZS0	unreviewed	Q7KZS0_HUMAN	SUMO-conjugating enzyme UBC9 (RING-type E3 SUMO transferase UBC9) (SUMO-protein ligase) (Ubiquitin carrier protein 9) (Ubiquitin carrier protein I) (Ubiquitin-conjugating enzyme E2 I) (Ubiquitin-protein ligase I)	UBE2I hCG_42687	184		
BDP1	A6H8Y1	reviewed	BDP1_HUMAN	Transcription factor TFIIIB component B'' homolog (Transcription factor IIIB 150) (TFIIIB150) (Transcription factor-like nuclear regulator)	BDP1 KIAA1241 KIAA1689 TFNR	2624	TISSUE SPECIFICITY: Isoform 2 is highly expressed in cerebellum. {ECO:0000269|PubMed:11161782}.	ENSG00000145734;
BDP1	Q99952	reviewed	PTN18_HUMAN	Tyrosine-protein phosphatase non-receptor type 18 (EC 3.1.3.48) (Brain-derived phosphatase)	PTPN18 BDP1	460	TISSUE SPECIFICITY: Expressed in brain, colon and several tumor-derived cell lines. {ECO:0000269|PubMed:8950995}.	ENSG00000072135;
BDP1	A0A0A0MRX7	unreviewed	A0A0A0MRX7_HUMAN	B double prime 1, subunit of RNA polymerase III transcription initiation factor IIIB	BDP1	846		ENSG00000145734;
BDP1	A0A0G2JN16	unreviewed	A0A0G2JN16_HUMAN	B double prime 1, subunit of RNA polymerase III transcription initiation factor IIIB	BDP1	846		
BDP1	A0A0G2JNU3	unreviewed	A0A0G2JNU3_HUMAN	B double prime 1, subunit of RNA polymerase III transcription initiation factor IIIB	BDP1	2624		
BDP1	B1WB49	unreviewed	B1WB49_HUMAN	BDP1 protein	BDP1	2621		
BDP1	H0YCV8	unreviewed	H0YCV8_HUMAN	B double prime 1, subunit of RNA polymerase III transcription initiation factor IIIB	BDP1	606		ENSG00000145734;
BDP1	H7C5U4	unreviewed	H7C5U4_HUMAN	B double prime 1, subunit of RNA polymerase III transcription initiation factor IIIB	BDP1	583		ENSG00000145734;
CDK8	P49336	reviewed	CDK8_HUMAN	Cyclin-dependent kinase 8 (EC 2.7.11.22) (EC 2.7.11.23) (Cell division protein kinase 8) (Mediator complex subunit CDK8) (Mediator of RNA polymerase II transcription subunit CDK8) (Protein kinase K35)	CDK8	464		ENSG00000132964;
CDK8	A0A0D9SEP3	unreviewed	A0A0D9SEP3_HUMAN	Cyclin dependent kinase 8	CDK8	148		ENSG00000132964;
CDK8	A0A0D9SFZ2	unreviewed	A0A0D9SFZ2_HUMAN	Cyclin dependent kinase 8	CDK8	195		ENSG00000132964;
CDK8	A0A8V8TQY4	unreviewed	A0A8V8TQY4_HUMAN	Cyclin dependent kinase 8	CDK8	81		
CDK8	F5H6D4	unreviewed	F5H6D4_HUMAN	Cyclin dependent kinase 8	CDK8	164		ENSG00000132964;
CDK8	Q64FY6	unreviewed	Q64FY6_HUMAN	Cyclin-dependent kinase 8	CDK8	164		
CDK8	U4PPA3	unreviewed	U4PPA3_HUMAN	Cyclin-dependent kinase 8	CDK8	122		
CTCF	P49711	reviewed	CTCF_HUMAN	Transcriptional repressor CTCF (11-zinc finger protein) (CCCTC-binding factor) (CTCFL paralog)	CTCF	727	TISSUE SPECIFICITY: Ubiquitous. Absent in primary spermatocytes. {ECO:0000269|PubMed:9591631}.	ENSG00000102974;
CTCF	A0A2R8Y595	unreviewed	A0A2R8Y595_HUMAN	CCCTC-binding factor	CTCF	638		ENSG00000102974;
CTCF	A0A2R8Y6C1	unreviewed	A0A2R8Y6C1_HUMAN	CCCTC-binding factor	CTCF	163		ENSG00000102974;
CTCF	A0A2R8Y6Z6	unreviewed	A0A2R8Y6Z6_HUMAN	CCCTC-binding factor	CTCF	135		ENSG00000102974;
CTCF	A0A2R8YFL0	unreviewed	A0A2R8YFL0_HUMAN	CCCTC-binding factor	CTCF	725		ENSG00000102974;
CXXC1	Q9P0U4	reviewed	CXXC1_HUMAN	CXXC-type zinc finger protein 1 (CpG-binding protein) (PHD finger and CXXC domain-containing protein 1)	CXXC1 CFP1 CGBP PCCX1 PHF18	656	TISSUE SPECIFICITY: Ubiquitous.	ENSG00000154832;
CXXC1	A0A669KB29	unreviewed	A0A669KB29_HUMAN	CXXC-type zinc finger protein 1	CXXC1	647		ENSG00000154832;
CXXC1	A0A669KB50	unreviewed	A0A669KB50_HUMAN	CXXC finger protein 1	CXXC1	100		ENSG00000154832;
CXXC1	K7EJR0	unreviewed	K7EJR0_HUMAN	CXXC finger protein 1	CXXC1	231		ENSG00000154832;
CXXC1	K7EKZ6	unreviewed	K7EKZ6_HUMAN	CXXC finger protein 1	CXXC1	250		ENSG00000154832;
CXXC1	K7EQ21	unreviewed	K7EQ21_HUMAN	CXXC-type zinc finger protein 1	CXXC1 hCG_23689	613		ENSG00000154832;
CXXC1	K7EQZ1	unreviewed	K7EQZ1_HUMAN	CXXC-type zinc finger protein 1	CXXC1	604		ENSG00000154832;
DDB1	Q16531	reviewed	DDB1_HUMAN	DNA damage-binding protein 1 (DDB p127 subunit) (DNA damage-binding protein a) (DDBa) (Damage-specific DNA-binding protein 1) (HBV X-associated protein 1) (XAP-1) (UV-damaged DNA-binding factor) (UV-damaged DNA-binding protein 1) (UV-DDB 1) (XPE-binding factor) (XPE-BF) (Xeroderma pigmentosum group E-complementing protein) (XPCe)	DDB1 XAP1	1140		ENSG00000167986;
DDB1	A0A7P0T870	unreviewed	A0A7P0T870_HUMAN	DNA damage-binding protein 1 (Damage-specific DNA-binding protein 1)	DDB1	1066		ENSG00000167986;
DDB1	A0A7P0T965	unreviewed	A0A7P0T965_HUMAN	DNA damage-binding protein 1 (Damage-specific DNA-binding protein 1)	DDB1	1061		ENSG00000167986;
DDB1	A0A7P0TAK7	unreviewed	A0A7P0TAK7_HUMAN	DNA damage-binding protein 1 (Damage-specific DNA-binding protein 1)	DDB1	1084		ENSG00000167986;
DDB1	A0A7P0TAX4	unreviewed	A0A7P0TAX4_HUMAN	DNA damage-binding protein 1 (Damage-specific DNA-binding protein 1)	DDB1	78		ENSG00000167986;
DDB1	A0A7P0TB30	unreviewed	A0A7P0TB30_HUMAN	DNA damage-binding protein 1 (Damage-specific DNA-binding protein 1)	DDB1	1027		ENSG00000167986;
DDB1	A0A7P0Z3Z5	unreviewed	A0A7P0Z3Z5_HUMAN	DNA damage-binding protein 1 (Damage-specific DNA-binding protein 1)	DDB1	1069		ENSG00000167986;
